Voter ID,County,Candidate
14332351,Marsh,Khan
14499323,Marsh,Khan
10136500,Marsh,Khan
19432958,Marsh,Khan
18010300,Queen,Khan
16756401,Queen,Khan
17284091,Raffah,Khan
15265232,Queen,Khan
13038406,Bamoo,Khan
12416463,Marsh,Khan
17276836,Bamoo,Khan
11216608,Marsh,Correy
10495607,Marsh,Correy
16476454,Marsh,O'Tooley
14996503,Marsh,Khan
10411568,Bamoo,Khan
15192836,Bamoo,Li
18620614,Marsh,Correy
18212144,Marsh,Khan
14822068,Marsh,Correy
14257445,Queen,Khan
10121340,Bamoo,Khan
16112754,Marsh,Khan
14330602,Marsh,Li
11285541,Bamoo,Khan
13727794,Marsh,Khan
13909467,Marsh,Khan
14606207,Marsh,Khan
10760181,Marsh,Khan
19572887,Marsh,Khan
18013635,Marsh,Khan
14432569,Marsh,Khan
14377117,Marsh,Li
14313569,Queen,Correy
14520462,Marsh,Correy
12377014,Marsh,Correy
18087498,Bamoo,Khan
14758362,Bamoo,Khan
14368881,Bamoo,Li
13533908,Marsh,Khan
17794387,Marsh,Khan
14084728,Marsh,Khan
14211551,Marsh,Correy
13970130,Queen,Correy
16118482,Bamoo,Khan
10888039,Marsh,Khan
14553592,Marsh,Khan
12099181,Bamoo,Correy
14144682,Queen,Khan
13515281,Bamoo,Correy
13359519,Marsh,Li
15975531,Marsh,Li
16927310,Marsh,Khan
10189180,Marsh,Khan
13118989,Marsh,Li
18414557,Marsh,Correy
16040694,Marsh,Khan
18972140,Queen,Li
14665099,Marsh,Li
11568666,Marsh,Khan
18535262,Bamoo,O'Tooley
14152459,Bamoo,Khan
18730495,Marsh,Correy
16960088,Marsh,Khan
17767000,Marsh,Khan
16768473,Raffah,Khan
18018337,Marsh,Khan
13164483,Marsh,Li
16306864,Marsh,Khan
11701158,Queen,Correy
14339901,Bamoo,Khan
13561639,Marsh,Khan
14866961,Marsh,Khan
17414730,Marsh,Correy
14576669,Marsh,Li
17612869,Trandee,Li
17489674,Marsh,Khan
10133490,Marsh,Khan
13131257,Marsh,Li
11720455,Marsh,Khan
19020167,Queen,Khan
19214899,Queen,Khan
16057299,Marsh,Correy
11415683,Marsh,Khan
13866281,Marsh,Correy
17110875,Bamoo,Correy
12731700,Marsh,Correy
17377539,Marsh,Correy
18706736,Queen,Khan
15585647,Marsh,O'Tooley
10730000,Marsh,Khan
13953143,Marsh,Correy
19058282,Queen,Khan
14586221,Marsh,Li
15970134,Marsh,Correy
10827571,Queen,Li
12845709,Marsh,Khan
17170550,Marsh,Khan
15456553,Marsh,Li
10335304,Marsh,Khan
12978302,Marsh,Khan
15422075,Marsh,Correy
15031047,Queen,Khan
13903013,Marsh,Correy
18657230,Queen,Khan
13851891,Marsh,Li
19416347,Marsh,Khan
17294568,Marsh,Khan
19081051,Marsh,Li
10200607,Queen,Correy
16196379,Marsh,Correy
12981854,Bamoo,Khan
14385166,Marsh,Khan
15962503,Marsh,Correy
12657218,Raffah,Khan
14169642,Marsh,Correy
12186357,Marsh,Khan
13906918,Queen,Khan
17454725,Marsh,Khan
18380401,Trandee,Khan
10678683,Queen,Li
16592697,Marsh,Correy
15168791,Marsh,Khan
10427671,Bamoo,Khan
16305370,Marsh,Correy
11343521,Marsh,Correy
17995308,Bamoo,Li
18941428,Marsh,Li
10366193,Marsh,Khan
14420069,Marsh,Khan
19531448,Queen,Correy
11986619,Marsh,Khan
18138673,Marsh,Khan
17841747,Marsh,Khan
14874701,Queen,Khan
11871696,Queen,Correy
10330977,Marsh,Li
